market,region,quarter,act,conf_n,conf_fat,d_act,d_conf,d_fat,d_conf_lag,n_img
lon10_0114lat38_8886,Amhara,2018Q1,135.0,0,0,,,,,8
lon10_0114lat38_8886,Amhara,2018Q2,82.3,0,0,-52.7,0.0,0.0,,4
lon10_0114lat38_8886,Amhara,2018Q3,,0,0,,0.0,0.0,0.0,0
lon10_0114lat38_8886,Amhara,2018Q4,91.0,0,0,,0.0,0.0,0.0,11
lon10_0114lat38_8886,Amhara,2019Q1,116.5,0,0,25.5,0.0,0.0,0.0,5
lon10_0114lat38_8886,Amhara,2019Q2,104.5,0,0,-12.0,0.0,0.0,0.0,6
lon10_0114lat38_8886,Amhara,2019Q3,108.2,0,0,3.700000000000003,0.0,0.0,0.0,4
lon10_0114lat38_8886,Amhara,2019Q4,79.9,0,0,-28.299999999999997,0.0,0.0,0.0,7
lon10_0114lat38_8886,Amhara,2020Q1,141.3,0,0,61.400000000000006,0.0,0.0,0.0,12
lon10_0114lat38_8886,Amhara,2020Q2,81.7,0,0,-59.60000000000001,0.0,0.0,0.0,4
lon10_0114lat38_8886,Amhara,2020Q3,40.5,0,0,-41.2,0.0,0.0,0.0,3
lon10_0114lat38_8886,Amhara,2020Q4,173.2,0,0,132.7,0.0,0.0,0.0,3
lon10_0114lat38_8886,Amhara,2021Q1,92.8,0,0,-80.39999999999999,0.0,0.0,0.0,9
lon10_0114lat38_8886,Amhara,2021Q2,109.1,0,0,16.299999999999997,0.0,0.0,0.0,6
lon10_0114lat38_8886,Amhara,2021Q3,41.5,0,0,-67.6,0.0,0.0,0.0,1
lon10_0114lat38_8886,Amhara,2021Q4,129.2,0,0,87.69999999999999,0.0,0.0,0.0,21
lon10_0114lat38_8886,Amhara,2022Q1,95.3,0,0,-33.89999999999999,0.0,0.0,0.0,14
lon10_0114lat38_8886,Amhara,2022Q2,97.0,0,0,1.7000000000000028,0.0,0.0,0.0,5
lon10_0114lat38_8886,Amhara,2022Q3,,0,0,,0.0,0.0,0.0,0
lon10_0114lat38_8886,Amhara,2022Q4,129.8,0,0,,0.0,0.0,0.0,9
lon10_0114lat38_8886,Amhara,2023Q1,137.7,0,0,7.899999999999977,0.0,0.0,0.0,8
lon10_0114lat38_8886,Amhara,2023Q2,100.3,2,1,-37.39999999999999,2.0,1.0,0.0,9
lon10_0114lat38_8886,Amhara,2023Q3,32.7,1,8,-67.6,-1.0,7.0,2.0,6
lon10_0114lat38_8886,Amhara,2023Q4,,1,10,,0.0,2.0,-1.0,0
lon10_0568lat38_9943,Amhara,2018Q1,74.1,0,0,,,,,16
lon10_0568lat38_9943,Amhara,2018Q2,108.9,0,0,34.80000000000001,0.0,0.0,,9
lon10_0568lat38_9943,Amhara,2018Q3,147.4,0,0,38.5,0.0,0.0,0.0,4
