quarter,n,biv_moran_i,p_perm,total_conf
2018Q2,1573,0.0054141368799798155,0.675,541.0
2018Q3,1235,0.020320418222724717,0.097,471.0
2018Q4,1308,0.002840408683924803,0.869,597.0
2019Q1,1703,-0.023664538196052666,0.09,235.0
2019Q2,1617,-0.008581210725011876,0.478,279.0
2019Q3,1055,0.010245867652830217,0.547,119.0
2019Q4,1069,0.006786689373915234,0.693,336.0
2020Q1,1651,-0.006983914612044639,0.583,379.0
2020Q2,1523,0.0010086075333357442,0.938,226.0
2020Q3,904,0.0030932676751895326,0.913,127.0
2020Q4,889,-0.03865037485791406,0.121,1646.0
2021Q1,1553,0.013849462789029685,0.507,2747.0
2021Q2,1661,-0.02071605162336653,0.169,1247.0
2021Q3,1384,-0.13968852341248983,0.001,2360.0
2021Q4,1415,-0.13301654400931073,0.001,3393.0
2022Q1,1540,0.004932703849628112,0.787,936.0
2022Q2,1499,0.010673770124825635,0.478,1246.0
2022Q3,1173,-0.04559367309892617,0.012,1369.0
2022Q4,1175,-0.044317986135578954,0.017,1506.0
2023Q1,1512,-0.021606591339237837,0.247,1040.0
2023Q2,1486,-0.011020023207470645,0.471,1500.0
2023Q3,1308,-0.040945405917892495,0.017,2535.0
2023Q4,1286,0.03144671154970392,0.051,2529.0
