market,lat,lon,region,conf,d_act,neighbor_dact_z,local_biv_i,local_p,quad_sig
lon10_0114lat38_8886,10.00834,38.88831,Amhara,0.0,87.69999999999999,0.06365880220040865,-0.02542082531401349,0.819,ns
lon10_0568lat38_9943,10.05849,38.99179,Amhara,0.0,27.099999999999994,0.2669760710399714,-0.10661136921117252,0.415,ns
lon10_2519lat37_8403,10.24869,37.83961,Amhara,1.0,-111.6,-0.06240167310419502,0.01452679625063083,0.849,ns
lon10_2764lat38_917,10.27564,38.91861,Amhara,0.0,14.199999999999989,0.18733605103038914,-0.07480877527774263,0.543,ns
lon10_3003lat37_4647,10.30151,37.46058,Amhara,0.0,-189.7,0.36823281703301786,-0.14704615533314805,0.303,ns
lon10_3108lat39_6575,10.30692,39.66142,Amhara,10.0,-16.5,-0.42866600307623426,-0.5426971415630711,0.015,conf_hi_nbr_down
lon10_3429lat39_9572,10.33621,39.96314,Amhara,22.0,-20.1,-0.5957826934390539,-1.9448884352889875,0.001,conf_hi_nbr_down
lon10_3557lat34_7634,10.35966,34.76017,Beneshangul Gumu,1.0,47.29999999999998,0.30019884765005067,-0.06988478477499803,0.595,ns
lon10_441lat38_9859,10.44118,38.98386,Amhara,0.0,-16.099999999999994,-0.3533325240668411,0.1410960316813026,0.127,ns
lon10_4451lat37_8914,10.44438,37.89271,Amhara,0.0,-14.600000000000009,0.0057469295280607735,-0.002294917381022307,0.977,ns
lon10_4536lat38_2014,10.45374,38.20367,Amhara,0.0,-71.20000000000002,0.2532050971795239,-0.10111221577425732,0.263,ns
lon10_4741lat38_8924,10.47137,38.89295,Amhara,0.0,38.900000000000006,-0.16618857067340423,0.06636396661964014,0.454,ns
lon10_4818lat37_0248,10.48262,37.02232,Amhara,0.0,162.5,0.6424699969103868,-0.2565570980983504,0.012,conf_lo_nbr_up
lon10_5051lat37_9927,10.50036,37.99475,Amhara,0.0,26.5,-0.1079360734888849,0.04310203733654058,0.599,ns
lon10_528lat36_8884,10.5312,36.89126,Amhara,0.0,35.400000000000006,0.588563362604355,-0.23503059922320754,0.013,conf_lo_nbr_up
lon10_5515lat39_9353,10.54777,39.93753,Amhara,19.0,-19.799999999999997,-0.6271744392139633,-1.7340262445762784,0.002,conf_hi_nbr_down
lon10_5854lat39_0011,10.5812,38.99475,Amhara,0.0,-39.8,-0.29776192050361056,0.11890506111720187,0.092,ns
lon10_588lat39_4346,10.591,39.43603,Amhara,3.0,-42.099999999999994,-0.4122201545279211,-0.041334828537396354,0.019,conf_hi_nbr_down
