market,lat,lon,region,d_act,Wd_act_centered,lisa,local_p,lisa_sig,conf
lon10_0114lat38_8886,10.00834,38.88831,Amhara,87.69999999999999,4.619976442873964,HH,0.534,ns,0.0
lon10_0568lat38_9943,10.05849,38.99179,Amhara,27.099999999999994,19.375531998429516,HH,0.494,ns,0.0
lon10_2519lat37_8403,10.24869,37.83961,Amhara,-111.6,-4.528741505843978,LL,0.472,ns,1.0
lon10_2764lat38_917,10.27564,38.91861,Amhara,14.199999999999989,13.595734018631543,HH,0.712,ns,0.0
lon10_3003lat37_4647,10.30151,37.46058,Amhara,-189.7,26.724143109540634,LH,0.025,LH,0.0
lon10_3108lat39_6575,10.30692,39.66142,Amhara,-16.5,-31.110023557126027,LL,0.316,ns,10.0
lon10_3429lat39_9572,10.33621,39.96314,Amhara,-20.1,-43.23835689045936,LL,0.186,ns,22.0
lon10_3557lat34_7634,10.35966,34.76017,Beneshangul Gumu,47.29999999999998,21.78664310954064,HH,0.442,ns,1.0
lon10_441lat38_9859,10.44118,38.98386,Amhara,-16.099999999999994,-25.64276865516525,LL,0.463,ns,0.0
lon10_4451lat37_8914,10.44438,37.89271,Amhara,-14.600000000000009,0.41707789214932944,LH,0.967,ns,0.0
lon10_4536lat38_2014,10.45374,38.20367,Amhara,-71.20000000000002,18.37611679375116,LH,0.149,ns,0.0
lon10_4741lat38_8924,10.47137,38.89295,Amhara,38.900000000000006,-12.060975938078412,HL,0.422,ns,0.0
lon10_4818lat37_0248,10.48262,37.02232,Amhara,162.5,46.62664310954064,HH,0.002,HH,0.0
lon10_5051lat37_9927,10.50036,37.99475,Amhara,26.5,-7.833356890459367,HL,0.594,ns,0.0
lon10_528lat36_8884,10.5312,36.89126,Amhara,35.400000000000006,42.71442088731841,HH,0.13,ns,0.0
lon10_5515lat39_9353,10.54777,39.93753,Amhara,-19.799999999999997,-45.51658269691097,LL,0.164,ns,19.0
lon10_5854lat39_0011,10.5812,38.99475,Amhara,-39.8,-21.609785461887935,LL,0.205,ns,0.0
lon10_588lat39_4346,10.591,39.43603,Amhara,-42.099999999999994,-29.916481890459362,LL,0.124,ns,3.0
lon10_589lat38_7557,10.58908,38.76116,Amhara,18.69999999999999,-5.789547366649842,HL,0.742,ns,0.0
lon10_5993lat39_9215,10.60048,39.92172,Amhara,-125.39999999999999,-40.42957310667558,LL,0.002,LL,37.0
lon10_5995lat36_8619,10.60258,36.86237,Amhara,-17.700000000000003,43.37085363585643,LH,0.285,ns,0.0
lon10_6055lat36_0829,10.60873,36.08101,Beneshangul Gumu,-46.60000000000001,-33.280023557126036,LL,0.214,ns,6.0
lon10_6098lat39_0835,10.6121,39.08328,Amhara,-45.2,-29.241928319030794,LL,0.105,ns,0.0
lon10_6415lat36_9455,10.64535,36.94643,Amhara,146.0,36.08209765499519,HH,0.006,HH,0.0
lon10_6534lat38_1657,10.65894,38.16078,Amhara,-72.80000000000001,24.502027724925252,LH,0.085,ns,0.0
lon10_6628lat39_1588,10.66291,39.16457,Amhara,-30.700000000000003,-35.32585689045936,LL,0.143,ns,1.0
lon10_6854lat40_0443,10.68738,40.04669,Amhara,-20.0,-40.976690223792694,LL,0.205,ns,18.0
lon10_7012lat37_1749,10.7034,37.17783,Amhara,138.2,44.895338761714555,HH,0.002,HH,0.0
lon10_7461lat38_067,10.7471,38.06409,Amhara,104.8,7.5533097762073,HH,0.208,ns,0.0
lon10_792lat39_0526,10.79333,39.05395,Amhara,-164.60000000000002,-26.476514785196205,LL,0.003,LL,3.0
lon10_8012lat38_4091,10.80132,38.40893,Amhara,9.300000000000011,20.107476442873967,HH,0.638,ns,0.0
lon10_8552lat36_8934,10.84956,36.89451,Amhara,-21.099999999999994,17.136643109540636,LH,0.464,ns,0.0
lon10_8556lat37_0202,10.85265,37.02434,Amhara,98.8,26.43279695569449,HH,0.028,HH,0.0
lon10_8663lat38_2725,10.86556,38.27116,Amhara,15.299999999999997,23.972357395254917,HH,0.513,ns,0.0
lon10_8689lat39_1773,10.8699,39.17449,Amhara,-14.299999999999997,-40.02699325409573,LL,0.23,ns,4.0
lon10_9111lat39_4984,10.90826,39.50002,Amhara,-101.6,-40.585905910067204,LL,0.005,LL,1.0
lon10_9183lat39_7863,10.92274,39.78984,Amhara,-42.3,-48.98394512575348,LL,0.036,LL,17.0
lon10_926lat38_087,10.93078,38.09074,Amhara,-49.400000000000006,25.31464310954063,LH,0.145,ns,0.0
lon10_959lat36_5095,10.95795,36.50092,Amhara,20.5,34.27664310954064,HH,0.268,ns,0.0
lon10_9609lat36_9281,10.95866,36.93614,Amhara,-73.69999999999999,23.434643109540634,LH,0.074,ns,0.0
lon10_9806lat37_2102,10.97928,37.2087,Amhara,147.3,16.41088553378306,HH,0.032,HH,0.0
lon10_9819lat39_2804,10.98292,39.26985,Amhara,-138.5,-42.426690223792704,LL,0.001,LL,3.0
lon10_9975lat37_4226,10.99812,37.42677,Amhara,183.0,17.846643109540636,HH,0.012,HH,0.0
lon11_0043lat36_6758,11.00341,36.67743,Amhara,22.39999999999999,18.218222056909056,HH,0.458,ns,0.0
lon11_0803lat37_881,11.07841,37.877,Amhara,-31.200000000000017,-5.8207642978667735,LL,0.609,ns,0.0
lon11_1113lat37_5648,11.10997,37.56156,Amhara,44.599999999999994,16.459370382267906,HH,0.195,ns,0.0
lon11_1487lat39_9012,11.14916,39.90073,Amhara,36.999999999999986,-46.113356890459364,HL,0.043,HL,22.0
lon11_1568lat36_3432,11.15642,36.34219,Beneshangul Gumu,199.0,48.33209765499518,HH,0.003,HH,5.0
lon11_1921lat40_0149,11.18887,40.02185,Amhara,-76.19999999999999,-44.190279967382445,LL,0.022,LL,10.0
lon11_2196lat37_6761,11.22038,37.67674,Amhara,59.800000000000004,15.566054874246516,HH,0.173,ns,0.0
lon11_2361lat39_2412,11.23892,39.24157,Amhara,-34.2,-38.96976714686962,LL,0.08,ns,3.0
lon11_2584lat37_4876,11.25758,37.48566,Amhara,37.60000000000001,23.49396018271137,HH,0.156,ns,0.0
lon11_2599lat36_8433,11.26511,36.84084,Amhara,-4.000000000000014,8.200279473177,LH,0.88,ns,0.0
lon11_2756lat39_545,11.28103,39.54302,Amhara,-58.2,-49.52904316496917,LL,0.006,LL,28.0
lon11_296lat36_2408,11.29804,36.23736,Beneshangul Gumu,23.5,51.386643109540636,HH,0.33,ns,2.0
lon11_3112lat39_6782,11.31107,39.68135,Amhara,-1.2999999999999972,-44.59460689045936,LL,0.759,ns,8.0
lon11_3196lat36_408,11.32498,36.41066,Beneshangul Gumu,7.700000000000017,61.750279473177,HH,0.509,ns,1.0
lon11_3993lat38_2379,11.39484,38.23973,Amhara,47.199999999999996,-17.89570983163583,HL,0.279,ns,0.0
lon11_4144lat37_9601,11.40797,37.95551,Amhara,-27.89999999999999,-10.290629617732092,LL,0.51,ns,0.0
lon11_4581lat38_9063,11.46209,38.90787,Amhara,12.300000000000004,-17.388356890459363,HL,0.604,ns,0.0
lon11_5139lat39_6093,11.51321,39.61115,Amhara,-45.0,-23.15238128070327,LL,0.121,ns,24.0
lon11_602lat37_946,11.60241,37.94595,Amhara,-41.599999999999994,4.32125849415602,LH,0.638,ns,0.0
lon11_6061lat40_0164,11.60661,40.01607,Afar,-75.8,-9.600856890459365,LL,0.303,ns,16.0
lon11_6097lat38_9313,11.60486,38.93308,Amhara,23.599999999999998,-12.91980850336259,HL,0.479,ns,14.0
lon11_6644lat39_6626,11.66366,39.66005,Amhara,43.599999999999994,-7.730499747602221,HL,0.437,ns,25.0
lon11_6866lat38_9242,11.69119,38.92407,Amhara,-9.0,-3.6900235571260334,LL,0.877,ns,14.0
lon11_7375lat39_0025,11.73888,39.00198,Amhara,-4.699999999999999,1.4960181095406355,LH,0.958,ns,11.0
lon11_7516lat38_3899,11.75129,38.38962,Amhara,-52.900000000000006,14.898643109540632,LH,0.247,ns,0.0
lon11_7664lat38_7423,11.76485,38.74703,Amhara,-18.200000000000003,-2.213356890459366,LL,0.863,ns,4.0
lon11_7826lat37_561,11.78238,37.55889,Amhara,161.8,36.06164310954064,HH,0.01,HH,3.0
lon11_7958lat38_1415,11.79736,38.14061,Amhara,10.199999999999989,6.262505178506152,HH,0.813,ns,0.0
lon11_8157lat38_6674,11.81817,38.66595,Amhara,1.5,-2.742986520088996,HL,0.986,ns,1.0
lon11_8402lat39_1456,11.83658,39.14558,Amhara,26.799999999999997,8.859370382267908,HH,0.538,ns,1.0
lon11_8429lat39_7398,11.84309,39.74201,Amhara,36.5,3.136643109540635,HH,0.729,ns,7.0
lon11_8729lat39_2944,11.87163,39.29995,Amhara,-24.400000000000006,13.190091385402702,LH,0.477,ns,2.0
lon11_9143lat37_8863,11.9153,37.88472,Amhara,25.900000000000006,20.95972003261756,HH,0.342,ns,0.0
lon11_9987lat39_4217,12.00154,39.42316,Amhara,4.900000000000006,12.566643109540633,HH,0.799,ns,1.0
lon12_014lat39_6273,12.01475,39.62568,Amhara,8.800000000000004,5.1152145381120615,HH,0.864,ns,2.0
lon12_0322lat39_0463,12.03275,39.03903,Amhara,38.599999999999994,7.451159238572892,HH,0.488,ns,13.0
lon12_0605lat38_2836,12.06132,38.28507,Amhara,25.89999999999999,-11.982106890459367,HL,0.549,ns,0.0
lon12_0808lat37_7285,12.07943,37.72545,Amhara,21.0,41.12553199842952,HH,0.29,ns,0.0
lon12_1201lat38_0486,12.132,38.04772,Amhara,-53.0,14.500279473176999,LH,0.264,ns,0.0
lon12_1235lat37_7793,12.124,37.77979,Amhara,219.3,7.966643109540636,HH,0.104,ns,0.0
lon12_1505lat39_6323,12.15794,39.63719,Amhara,27.499999999999996,11.510643109540636,HH,0.471,ns,3.0
lon12_1651lat38_8403,12.16781,38.84762,Amhara,10.799999999999997,13.182097654995179,HH,0.708,ns,0.0
lon12_1654lat38_9854,12.16294,38.98832,Amhara,40.2,-0.41335689045936697,HL,0.942,ns,13.0
lon12_267lat39_0352,12.26506,39.03075,Amhara,-9.100000000000001,6.021425718236285,LH,0.822,ns,0.0
lon12_2769lat37_7369,12.27988,37.73482,Amhara,70.69999999999999,20.68039310954064,HH,0.132,ns,0.0
