region,mcv1,events,fatalities
Somali,0.13790697674418606,18.982456140350877,34.12280701754386
Afar,0.34804651162790695,77.74,347.12
Benishangul-Gumuz,0.3560689655172414,57.955555555555556,362.26666666666665
Oromia,0.3819574468085106,113.91549295774648,274.6901408450704
Gambella,0.4396402877697842,55.24390243902439,227.4878048780488
South Ethiopia,0.46071823204419887,36.25423728813559,86.9322033898305
Sidama,0.5190740740740741,53.5,83.55357142857143
Central Ethiopia,0.5360571428571429,45.527272727272724,54.92727272727273
South West Ethiopia,0.5849618320610689,12.705882352941176,44.88235294117647
Dire Dawa,0.591304347826087,153.5897435897436,162.56410256410257
Harari,0.6118279569892472,158.6451612903226,202.93548387096774
Amhara,0.6547126436781608,129.43548387096774,396.83870967741933
Tigray,0.6738500000000001,203.20634920634922,772.8412698412699
Addis Ababa,0.9166956521739131,354.6190476190476,204.92857142857142
