region,mcv1,conflict_near,mkt_trend,n_clusters
Somali,0.13790697674418606,18.982456140350877,-0.2933000083616372,57
Afar,0.34804651162790695,77.74,0.17565923540390269,50
Benishangul-Gumuz,0.3560689655172414,57.955555555555556,0.22533107343648595,45
Oromia,0.3819574468085106,113.91549295774648,0.3066557098773411,71
Gambella,0.4396402877697842,55.24390243902439,-0.003081771802468961,41
South Ethiopia,0.46071823204419887,36.25423728813559,0.6961499381581017,59
Sidama,0.5190740740740741,53.5,0.42880755999598064,56
Central Ethiopia,0.5360571428571429,45.527272727272724,0.40603120411089155,55
South West Ethiopia,0.5849618320610689,12.705882352941176,0.593714401454545,51
Dire Dawa,0.591304347826087,153.5897435897436,0.21823941319762213,39
Harari,0.6118279569892472,158.6451612903226,0.35030012037823394,31
Amhara,0.6547126436781608,129.43548387096774,0.008479522747095672,62
Tigray,0.6738500000000001,203.20634920634922,0.24673915259193435,63
Addis Ababa,0.9166956521739131,354.6190476190476,-0.028509979694740187,42
