region,mcv1,all_events,violence,pct_violent
Somali,0.13790697674418606,18.982456140350877,12.473684210526315,66.0
Afar,0.34804651162790695,77.74,63.56,82.0
Benishangul-Gumuz,0.3560689655172414,57.955555555555556,45.84444444444444,79.0
Oromia,0.3819574468085106,113.91549295774648,63.0,55.0
Gambella,0.4396402877697842,55.24390243902439,40.73170731707317,74.0
South Ethiopia,0.46071823204419887,36.25423728813559,20.28813559322034,56.0
Sidama,0.5190740740740741,53.5,15.875,30.0
Central Ethiopia,0.5360571428571429,45.527272727272724,15.909090909090908,35.0
South West Ethiopia,0.5849618320610689,12.705882352941176,8.0,63.0
Dire Dawa,0.591304347826087,153.5897435897436,48.53846153846154,32.0
Harari,0.6118279569892472,158.6451612903226,70.35483870967742,44.0
Amhara,0.6547126436781608,129.43548387096774,91.98387096774194,71.0
Tigray,0.6738500000000001,203.20634920634922,175.03174603174602,86.0
Addis Ababa,0.9166956521739131,354.6190476190476,92.33333333333333,26.0
