zone,n_clusters,n_children,mcv1_smooth,mcv1_raw,n_markets,mkt_idx,mkt_trend,conflict_events,fatalities,mcv1_reliable,hi_conflict,has_market
Afder,10.0,33.0,0.1221212121212121,0.1212121212121212,0.0,,,9.0,139.0,True,False,False
Agnuak,23.0,78.0,0.4865384615384616,0.5,0.0,,,107.0,368.0,True,True,False
Alaba,3.0,8.0,0.6375,0.625,3.0,96.4001690821256,-0.5338752744027908,5.0,1.0,True,False,True
Arsi,5.0,19.0,0.4373684210526316,0.4736842105263157,69.0,99.80408626600224,-0.1252534268033507,99.0,477.0,True,True,True
Asosa,20.0,52.0,0.5063461538461538,0.5384615384615384,15.0,98.31420926200674,-0.0725774284570211,64.0,283.0,True,True,True
Awi/Agew,3.0,7.0,0.6385714285714286,0.7142857142857143,40.0,99.43311456135396,0.1103702221220278,44.0,223.0,True,False,True
Bale,6.0,38.0,0.17,0.0789473684210526,65.0,100.6882012996294,-0.0819056128635442,54.0,136.0,True,False,True
Bench Maji,16.0,35.0,0.584,0.5142857142857142,14.0,100.43424293960008,0.898053267676201,20.0,112.0,True,False,True
Central,18.0,63.0,0.6804761904761905,0.6984126984126984,50.0,93.77778675889328,0.0500208946826108,233.0,772.0,True,True,True
Dawro,8.0,31.0,0.5558064516129032,0.5806451612903226,1.0,99.68947368421053,0.3339540412044358,0.0,0.0,True,False,True
Dire Dawa,39.0,115.0,0.591304347826087,0.591304347826087,0.0,,,58.0,45.0,True,False,False
Doolo,4.0,16.0,0.179375,0.1875,0.0,,,6.0,32.0,True,False,False
East Gojam,6.0,18.0,0.6744444444444445,0.6666666666666666,57.0,100.15269484922231,-0.5226009570252174,97.0,230.0,True,True,True
East Harerge,7.0,26.0,0.2269230769230769,0.0769230769230769,27.0,100.6630526768618,0.4018891992824649,176.0,348.0,True,True,True
East Shewa,5.0,9.0,0.6122222222222223,0.7777777777777778,36.0,99.93007148346824,-0.0834986342271745,206.0,738.0,True,True,True
East Wellega,3.0,8.0,0.46375,0.5,40.0,99.93392727881618,0.2016705987985743,283.0,1177.0,True,True,True
"Eastern
",12.0,29.0,0.6648275862068964,0.6206896551724138,32.0,98.98896708250987,0.2300042227950766,171.0,1157.0,True,True,True
Fafan,9.0,29.0,0.2103448275862068,0.2068965517241379,1.0,102.9875,-0.6606521739130473,68.0,64.0,True,True,True
Gamo Gofa,19.0,70.0,0.3828571428571428,0.3142857142857143,19.0,102.32777423648254,0.7705587862801964,27.0,110.0,True,False,True
Gedio,9.0,24.0,0.4087499999999999,0.4166666666666667,3.0,105.0111592111592,3.947432957562794,3.0,5.0,True,False,True
Guji,4.0,10.0,0.152,0.0,18.0,101.1574307101758,0.7190606011320748,152.0,507.0,True,True,True
Gurage,18.0,57.0,0.5566666666666666,0.5263157894736842,22.0,99.25053229223788,1.20054958471486,57.0,111.0,True,False,True
Hadiya,16.0,54.0,0.4894444444444444,0.3888888888888889,7.0,98.4401216275984,1.296112492311033,20.0,0.0,True,False,True
Hareri,31.0,93.0,0.6118279569892472,0.6129032258064516,0.0,,,25.0,20.0,True,False,False
Horo Guduru,3.0,8.0,0.6100000000000001,0.75,13.0,100.82107058329564,0.4427190910674006,177.0,1098.0,True,True,True
Ilubabor,3.0,8.0,0.3949999999999999,0.375,59.0,98.30217036654344,0.6421082237844947,34.0,107.0,True,False,True
Jarar,8.0,24.0,0.1045833333333333,0.0416666666666666,0.0,,,10.0,22.0,True,False,False
Jimma,7.0,20.0,0.3185,0.3,69.0,104.84427422794477,0.8683149919101718,45.0,79.0,True,False,True
Keffa,18.0,46.0,0.5497826086956522,0.5,32.0,97.97903075161464,0.1726328009131577,9.0,68.0,True,False,True
Kemashi,6.0,21.0,0.3714285714285714,0.3333333333333333,4.0,105.4903846153846,1.2264231184850505,30.0,622.0,True,False,True
Konta,3.0,6.0,0.6183333333333333,0.8333333333333334,2.0,103.18809523809524,1.8489914936978649,0.0,0.0,True,False,True
Korahe,4.0,12.0,0.0883333333333333,0.0,0.0,,,18.0,47.0,True,False,False
KT,8.0,25.0,0.5820000000000001,0.68,9.0,101.48889970233108,0.124653924706303,5.0,0.0,True,False,True
Liben,4.0,20.0,0.1145,0.15,1.0,110.61304347826086,0.198356659852177,8.0,18.0,True,False,True
Majang,9.0,27.0,0.4585185185185185,0.4444444444444444,3.0,97.04088164251208,0.5426931859056692,9.0,13.0,True,False,True
Metekel,19.0,72.0,0.2430555555555555,0.2222222222222222,20.0,103.1357766043072,0.8010670712732895,133.0,1561.0,True,True,True
Nogob,4.0,13.0,0.1015384615384615,0.0769230769230769,0.0,,,1.0,1.0,True,False,False
North Gonder,12.0,34.0,0.6620588235294118,0.6764705882352942,58.0,99.19290811574731,0.25755152135031,220.0,712.0,True,True,True
North Shewa(R3),6.0,14.0,0.6342857142857143,0.5714285714285714,79.0,99.18421099309788,0.2102608510897345,258.0,1127.0,True,True,True
North Shewa(R4),4.0,15.0,0.5993333333333333,0.6666666666666666,49.0,98.04509790198904,0.0655371275642788,278.0,720.0,True,True,True
North Western,10.0,36.0,0.7205555555555555,0.75,18.0,100.03664178012004,0.3547512059180626,265.0,771.0,True,True,True
North Wollo,6.0,19.0,0.7321052631578947,0.7894736842105263,75.0,98.903893622561,-0.0137378557139266,474.0,1459.0,True,True,True
Nuer,9.0,34.0,0.3170588235294118,0.2941176470588235,0.0,,,12.0,56.0,True,False,False
Oromia,3.0,14.0,0.7042857142857143,0.7142857142857143,23.0,98.57532923755514,0.4500356889150445,127.0,509.0,True,True,True
Region 14,42.0,115.0,0.9166956521739132,0.9217391304347826,0.0,,,247.0,82.0,True,True,False
Segen Peoples',7.0,30.0,0.4796666666666667,0.5,9.0,103.05725494312452,0.0031704974458481,63.0,233.0,True,False,True
Selti,9.0,28.0,0.5371428571428571,0.7142857142857143,13.0,95.39786887924804,-0.2557114011200891,11.0,2.0,True,False,True
Shabelle,9.0,43.0,0.1418604651162791,0.1395348837209302,0.0,,,6.0,90.0,True,False,False
Sheka,6.0,13.0,0.7661538461538461,1.0,10.0,95.7369769433465,1.084906079418886,12.0,31.0,True,False,True
Sidama,56.0,162.0,0.5190740740740741,0.5185185185185185,21.0,107.37303521782012,0.6695379254208647,58.0,96.0,True,False,True
Siti,3.0,12.0,0.1616666666666666,0.25,1.0,104.99375,2.1695588235294108,67.0,181.0,True,True,True
South Gonder,8.0,18.0,0.508888888888889,0.4444444444444444,62.0,97.66247330801504,-0.1495529549975723,98.0,284.0,True,True,True
South Omo,8.0,26.0,0.4857692307692308,0.5384615384615384,18.0,97.87817706472836,0.7560573437297322,24.0,58.0,True,False,True
South Wollo,9.0,21.0,0.7533333333333333,0.8571428571428571,139.0,99.72230299272722,0.1592733129694166,156.0,332.0,True,True,True
Southern,19.0,60.0,0.6423333333333333,0.6333333333333333,56.0,98.25868778316662,0.2920958722795306,386.0,962.0,True,True,True
West Arsi,5.0,26.0,0.2369230769230769,0.1538461538461538,39.0,101.95602657056504,0.1023047139389266,65.0,95.0,True,True,True
West Gojam,8.0,22.0,0.6340909090909091,0.6363636363636364,80.0,98.10785836627142,-0.0748888964562532,139.0,318.0,True,True,True
West Harerge,6.0,20.0,0.3455,0.45,41.0,100.73633755983278,0.2283880800305796,105.0,163.0,True,True,True
West Shewa,6.0,22.0,0.6472727272727273,0.7272727272727273,54.0,101.5835895185506,0.1553096636681726,388.0,1108.0,True,True,True
West Wellega,4.0,7.0,0.6385714285714286,1.0,58.0,102.23503747996745,0.1052775109323799,235.0,669.0,True,True,True
Western,5.0,16.0,0.60375,0.5625,15.0,101.5000090030742,-0.1379906800096716,133.0,1395.0,True,True,True
Wolayita,14.0,27.0,0.6755555555555555,0.7407407407407407,8.0,101.20820509280787,0.6647255449510654,31.0,27.0,True,False,True
Zone 1,15.0,45.0,0.3153333333333333,0.2888888888888888,2.0,97.19188311688312,0.0244346209023863,92.0,270.0,True,True,True
Zone 2,10.0,46.0,0.6054347826086957,0.7391304347826086,6.0,98.31407004830918,-0.0455241198161352,93.0,480.0,True,True,True
Zone 3,9.0,43.0,0.2532558139534883,0.2325581395348837,3.0,86.97995169082124,1.360953662639547,73.0,512.0,True,True,True
Zone 4,6.0,36.0,0.2588888888888889,0.2222222222222222,1.0,96.6,0.2242793608960634,42.0,432.0,True,False,True
Zone 5,8.0,32.0,0.2359375,0.1875,3.0,99.07601010101013,0.1083444089710185,13.0,33.0,True,False,True
